TimeDate,RAW
0:01:51 2018/7/1,-324
0:01:51 2018/7/1,-341
0:01:51 2018/7/1,-347
0:01:51 2018/7/1,-356
0:01:51 2018/7/1,-377
0:01:51 2018/7/1,-409
0:01:51 2018/7/1,-438
0:01:51 2018/7/1,-456
0:01:51 2018/7/1,-469
0:01:51 2018/7/1,-485
0:01:51 2018/7/1,-500
0:01:51 2018/7/1,-504
0:01:51 2018/7/1,-484
0:01:51 2018/7/1,-458
0:01:51 2018/7/1,-452
0:01:51 2018/7/1,-462
0:01:51 2018/7/1,-490
0:01:51 2018/7/1,-521
0:01:51 2018/7/1,-538
0:01:51 2018/7/1,-547
0:01:51 2018/7/1,-548
0:01:51 2018/7/1,-534
0:01:51 2018/7/1,-522
0:01:51 2018/7/1,-534
0:01:51 2018/7/1,-552
0:01:51 2018/7/1,-554
0:01:51 2018/7/1,-553
0:01:51 2018/7/1,-573
0:01:51 2018/7/1,-617
0:01:51 2018/7/1,-648
0:01:51 2018/7/1,-647
0:01:51 2018/7/1,-645
0:01:51 2018/7/1,-652
0:01:51 2018/7/1,-662
0:01:51 2018/7/1,-669
0:01:51 2018/7/1,-666
0:01:51 2018/7/1,-657
0:01:51 2018/7/1,-653
0:01:51 2018/7/1,-670
0:01:51 2018/7/1,-693
0:01:51 2018/7/1,-698
0:01:51 2018/7/1,-685
0:01:51 2018/7/1,-663
0:01:51 2018/7/1,-642
0:01:51 2018/7/1,-629
0:01:51 2018/7/1,-626
0:01:51 2018/7/1,-627
0:01:51 2018/7/1,-636
0:01:51 2018/7/1,-658
0:01:51 2018/7/1,-669
0:01:51 2018/7/1,-668
0:01:51 2018/7/1,-652
0:01:51 2018/7/1,-628
0:01:51 2018/7/1,-609
0:01:51 2018/7/1,-588
0:01:51 2018/7/1,-572
0:01:51 2018/7/1,-562
0:01:51 2018/7/1,-557
0:01:51 2018/7/1,-558
0:01:51 2018/7/1,-552
0:01:51 2018/7/1,-536
0:01:51 2018/7/1,-525
0:01:51 2018/7/1,-523
0:01:51 2018/7/1,-514
0:01:51 2018/7/1,-504
0:01:51 2018/7/1,-503
0:01:51 2018/7/1,-498
0:01:51 2018/7/1,-485
0:01:51 2018/7/1,-473
0:01:51 2018/7/1,-468
0:01:51 2018/7/1,-466
0:01:51 2018/7/1,-457
0:01:51 2018/7/1,-457
0:01:51 2018/7/1,-459
0:01:51 2018/7/1,-458
0:01:51 2018/7/1,-450
0:01:51 2018/7/1,-434
0:01:51 2018/7/1,-417
0:01:51 2018/7/1,-410
0:01:51 2018/7/1,-421
0:01:51 2018/7/1,-430
0:01:51 2018/7/1,-436
0:01:51 2018/7/1,-439
0:01:51 2018/7/1,-440
0:01:51 2018/7/1,-438
0:01:51 2018/7/1,-436
0:01:51 2018/7/1,-425
0:01:51 2018/7/1,-410
0:01:51 2018/7/1,-388
0:01:51 2018/7/1,-363
0:01:51 2018/7/1,-334
0:01:51 2018/7/1,-307
0:01:51 2018/7/1,-283
0:01:51 2018/7/1,-268
0:01:51 2018/7/1,-266
0:01:51 2018/7/1,-268
0:01:51 2018/7/1,-260
0:01:51 2018/7/1,-247
0:01:51 2018/7/1,-242
0:01:51 2018/7/1,-241
0:01:51 2018/7/1,-237
0:01:51 2018/7/1,-241
0:01:51 2018/7/1,-243
0:01:51 2018/7/1,-230
0:01:51 2018/7/1,-200
0:01:51 2018/7/1,-183
0:01:51 2018/7/1,-184
0:01:51 2018/7/1,-186
0:01:51 2018/7/1,-182
0:01:51 2018/7/1,-180
0:01:51 2018/7/1,-177
0:01:51 2018/7/1,-170
0:01:51 2018/7/1,-158
0:01:51 2018/7/1,-146
0:01:51 2018/7/1,-131
0:01:51 2018/7/1,-113
0:01:51 2018/7/1,-97
0:01:51 2018/7/1,-98
0:01:51 2018/7/1,-117
0:01:51 2018/7/1,-136
0:01:51 2018/7/1,-136
0:01:51 2018/7/1,-113
0:01:51 2018/7/1,-87
0:01:51 2018/7/1,-81
0:01:51 2018/7/1,-89
0:01:51 2018/7/1,-99
0:01:51 2018/7/1,-105
0:01:51 2018/7/1,-103
0:01:51 2018/7/1,-86
0:01:51 2018/7/1,-53
0:01:51 2018/7/1,-44
0:01:51 2018/7/1,-59
0:01:51 2018/7/1,-69
0:01:51 2018/7/1,-55
0:01:51 2018/7/1,-41
0:01:51 2018/7/1,-37
0:01:51 2018/7/1,-45
0:01:51 2018/7/1,-62
0:01:51 2018/7/1,-71
0:01:51 2018/7/1,-66
0:01:51 2018/7/1,-53
0:01:51 2018/7/1,-38
0:01:51 2018/7/1,-28
0:01:51 2018/7/1,-24
0:01:51 2018/7/1,-18
0:01:51 2018/7/1,-19
0:01:51 2018/7/1,-40
0:01:51 2018/7/1,-57
0:01:51 2018/7/1,-58
0:01:51 2018/7/1,-54
0:01:51 2018/7/1,-38
0:01:51 2018/7/1,-18
0:01:51 2018/7/1,-10
0:01:51 2018/7/1,-14
0:01:51 2018/7/1,-19
0:01:51 2018/7/1,-7
0:01:51 2018/7/1,13
0:01:51 2018/7/1,36
0:01:51 2018/7/1,44
0:01:51 2018/7/1,48
0:01:51 2018/7/1,44
0:01:51 2018/7/1,44
0:01:51 2018/7/1,39
0:01:51 2018/7/1,36
0:01:51 2018/7/1,42
0:01:51 2018/7/1,42
0:01:51 2018/7/1,37
0:01:51 2018/7/1,42
0:01:51 2018/7/1,58
0:01:51 2018/7/1,77
0:01:51 2018/7/1,90
0:01:51 2018/7/1,93
0:01:51 2018/7/1,80
0:01:51 2018/7/1,67
0:01:51 2018/7/1,70
0:01:51 2018/7/1,81
0:01:51 2018/7/1,87
0:01:51 2018/7/1,91
0:01:51 2018/7/1,97
0:01:51 2018/7/1,102
0:01:51 2018/7/1,116
0:01:51 2018/7/1,120
0:01:51 2018/7/1,109
0:01:51 2018/7/1,102
0:01:51 2018/7/1,99
0:01:51 2018/7/1,97
0:01:51 2018/7/1,102
0:01:51 2018/7/1,108
0:01:51 2018/7/1,119
0:01:51 2018/7/1,129
0:01:51 2018/7/1,128
0:01:51 2018/7/1,120
0:01:51 2018/7/1,123
0:01:51 2018/7/1,138
0:01:51 2018/7/1,147
0:01:51 2018/7/1,140
0:01:51 2018/7/1,146
0:01:51 2018/7/1,144
0:01:51 2018/7/1,137
0:01:51 2018/7/1,141
0:01:51 2018/7/1,151
0:01:51 2018/7/1,150
0:01:51 2018/7/1,140
0:01:51 2018/7/1,140
0:01:51 2018/7/1,155
